latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,source_dataset
6.8226,81.4782,340.95,0.77,0.77,2026-09-03,712,N,VIIRS,n,2.0NRT,291.99,8.35,D,VIIRS_SNPP_NRT
6.82737,81.47894,330.42,0.77,0.77,2026-09-03,712,N,VIIRS,n,2.0NRT,291.07,4.66,D,VIIRS_SNPP_NRT
8.94729,80.78709,333.81,0.79,0.78,2026-09-03,712,N,VIIRS,n,2.0NRT,288.83,6.04,D,VIIRS_SNPP_NRT
8.94969,80.79314,336.01,0.78,0.78,2026-09-03,712,N,VIIRS,n,2.0NRT,288.87,11.49,D,VIIRS_SNPP_NRT
23.80334,86.3283,329.9,0.56,0.43,2026-09-03,716,N,VIIRS,n,2.0NRT,292.97,4.25,D,VIIRS_SNPP_NRT
26.52341,90.53152,337.85,0.38,0.36,2026-09-03,716,N,VIIRS,n,2.0NRT,295.1,3.17,D,VIIRS_SNPP_NRT
26.80206,90.32026,331.09,0.38,0.36,2026-09-03,716,N,VIIRS,n,2.0NRT,295.86,4.05,D,VIIRS_SNPP_NRT
26.88079,92.32764,335.88,0.4,0.37,2026-09-03,716,N,VIIRS,n,2.0NRT,295.78,6.54,D,VIIRS_SNPP_NRT
27.37946,95.33263,333.29,0.53,0.42,2026-09-03,716,N,VIIRS,n,2.0NRT,293.87,1.57,D,VIIRS_SNPP_NRT
27.98586,95.93726,334.3,0.39,0.44,2026-09-03,716,N,VIIRS,n,2.0NRT,295.68,5.03,D,VIIRS_SNPP_NRT
27.99035,95.94063,340.52,0.39,0.44,2026-09-03,716,N,VIIRS,n,2.0NRT,294.12,6.05,D,VIIRS_SNPP_NRT
28.181,95.66731,333.32,0.57,0.43,2026-09-03,716,N,VIIRS,n,2.0NRT,294.3,5.65,D,VIIRS_SNPP_NRT
6.44193,81.0908,348.26,0.48,0.65,2026-09-03,852,N,VIIRS,n,2.0NRT,291.57,6.84,D,VIIRS_SNPP_NRT
6.74363,81.52365,330.37,0.52,0.67,2026-09-03,852,N,VIIRS,n,2.0NRT,293.86,4.18,D,VIIRS_SNPP_NRT
6.82773,81.55322,330.62,0.53,0.67,2026-09-03,852,N,VIIRS,n,2.0NRT,291.54,4.08,D,VIIRS_SNPP_NRT
6.82839,81.55818,337.28,0.53,0.67,2026-09-03,852,N,VIIRS,n,2.0NRT,291.68,4.08,D,VIIRS_SNPP_NRT
7.13617,80.9217,341.43,0.48,0.65,2026-09-03,852,N,VIIRS,n,2.0NRT,293.8,10.53,D,VIIRS_SNPP_NRT
7.22182,80.83134,334.52,0.48,0.64,2026-09-03,852,N,VIIRS,n,2.0NRT,291.89,4.3,D,VIIRS_SNPP_NRT
7.22432,80.83115,333.28,0.48,0.64,2026-09-03,852,N,VIIRS,n,2.0NRT,291.1,3.97,D,VIIRS_SNPP_NRT
7.32894,81.20289,339.3,0.51,0.66,2026-09-03,852,N,VIIRS,n,2.0NRT,297.37,9.62,D,VIIRS_SNPP_NRT
7.36543,81.77074,334.51,0.55,0.68,2026-09-03,852,N,VIIRS,n,2.0NRT,292.3,4.81,D,VIIRS_SNPP_NRT
7.36605,81.10909,331.16,0.5,0.66,2026-09-03,852,N,VIIRS,n,2.0NRT,296.35,4.69,D,VIIRS_SNPP_NRT
7.36618,81.10924,330.55,0.5,0.66,2026-09-03,852,N,VIIRS,n,2.0NRT,296.75,4.5,D,VIIRS_SNPP_NRT
7.52924,81.65376,337.63,0.55,0.68,2026-09-03,852,N,VIIRS,n,2.0NRT,292.58,4.86,D,VIIRS_SNPP_NRT
7.55661,80.95155,334.53,0.49,0.65,2026-09-03,852,N,VIIRS,n,2.0NRT,294.03,5.75,D,VIIRS_SNPP_NRT
7.55712,80.94936,331.3,0.49,0.65,2026-09-03,852,N,VIIRS,n,2.0NRT,294.15,4.55,D,VIIRS_SNPP_NRT
7.72298,81.26734,336.62,0.52,0.67,2026-09-03,852,N,VIIRS,n,2.0NRT,293.0,5.61,D,VIIRS_SNPP_NRT
7.75647,81.23419,331.0,0.52,0.66,2026-09-03,852,N,VIIRS,n,2.0NRT,293.04,4.19,D,VIIRS_SNPP_NRT
7.92578,81.39906,335.63,0.53,0.67,2026-09-03,852,N,VIIRS,n,2.0NRT,293.08,7.19,D,VIIRS_SNPP_NRT
7.9395,81.25786,336.74,0.52,0.67,2026-09-03,852,N,VIIRS,n,2.0NRT,293.41,3.46,D,VIIRS_SNPP_NRT
8.05081,81.30357,337.97,0.53,0.67,2026-09-03,852,N,VIIRS,n,2.0NRT,293.14,7.7,D,VIIRS_SNPP_NRT
8.05333,80.59547,333.4,0.47,0.64,2026-09-03,852,N,VIIRS,n,2.0NRT,293.4,3.63,D,VIIRS_SNPP_NRT
8.05642,81.2979,338.69,0.53,0.67,2026-09-03,852,N,VIIRS,n,2.0NRT,293.12,6.6,D,VIIRS_SNPP_NRT
8.05706,81.30285,344.06,0.53,0.67,2026-09-03,852,N,VIIRS,n,2.0NRT,292.73,6.6,D,VIIRS_SNPP_NRT
8.14806,81.33616,367.0,0.53,0.67,2026-09-03,852,N,VIIRS,h,2.0NRT,293.0,11.6,D,VIIRS_SNPP_NRT
8.1625,81.34946,367.0,0.53,0.67,2026-09-03,852,N,VIIRS,h,2.0NRT,293.1,19.64,D,VIIRS_SNPP_NRT
8.20065,81.06894,330.69,0.51,0.66,2026-09-03,852,N,VIIRS,n,2.0NRT,292.24,3.11,D,VIIRS_SNPP_NRT
8.20337,80.99162,336.41,0.5,0.66,2026-09-03,852,N,VIIRS,n,2.0NRT,292.96,5.13,D,VIIRS_SNPP_NRT
8.20392,80.99172,332.07,0.5,0.66,2026-09-03,852,N,VIIRS,n,2.0NRT,292.88,6.22,D,VIIRS_SNPP_NRT
8.21999,80.57515,330.34,0.47,0.64,2026-09-03,852,N,VIIRS,n,2.0NRT,292.01,1.81,D,VIIRS_SNPP_NRT
8.284,80.23323,330.92,0.45,0.63,2026-09-03,852,N,VIIRS,n,2.0NRT,292.92,8.64,D,VIIRS_SNPP_NRT
8.28842,80.23164,331.07,0.45,0.63,2026-09-03,852,N,VIIRS,n,2.0NRT,293.27,7.83,D,VIIRS_SNPP_NRT
8.39178,80.16251,340.35,0.45,0.63,2026-09-03,852,N,VIIRS,n,2.0NRT,295.25,46.39,D,VIIRS_SNPP_NRT
8.39199,80.16026,334.57,0.45,0.63,2026-09-03,852,N,VIIRS,n,2.0NRT,292.82,23.58,D,VIIRS_SNPP_NRT
8.3923,80.16667,351.18,0.45,0.63,2026-09-03,852,N,VIIRS,n,2.0NRT,292.93,41.89,D,VIIRS_SNPP_NRT
8.39254,80.16441,367.0,0.45,0.63,2026-09-03,852,N,VIIRS,h,2.0NRT,296.13,62.8,D,VIIRS_SNPP_NRT
8.4028,80.65507,332.44,0.48,0.65,2026-09-03,852,N,VIIRS,n,2.0NRT,293.37,5.58,D,VIIRS_SNPP_NRT
8.4287,80.5266,330.2,0.47,0.64,2026-09-03,852,N,VIIRS,n,2.0NRT,292.89,6.28,D,VIIRS_SNPP_NRT
8.43132,80.52473,346.03,0.47,0.64,2026-09-03,852,N,VIIRS,n,2.0NRT,292.96,7.77,D,VIIRS_SNPP_NRT
8.55929,80.3675,367.0,0.46,0.64,2026-09-03,852,N,VIIRS,h,2.0NRT,294.02,17.44,D,VIIRS_SNPP_NRT
8.564,80.79541,333.78,0.49,0.65,2026-09-03,852,N,VIIRS,n,2.0NRT,291.79,6.69,D,VIIRS_SNPP_NRT
8.56422,80.79527,332.99,0.49,0.65,2026-09-03,852,N,VIIRS,n,2.0NRT,291.38,3.8,D,VIIRS_SNPP_NRT
8.60062,80.454,335.49,0.47,0.64,2026-09-03,852,N,VIIRS,n,2.0NRT,290.31,2.76,D,VIIRS_SNPP_NRT
8.60401,80.48016,334.16,0.47,0.64,2026-09-03,852,N,VIIRS,n,2.0NRT,292.18,6.33,D,VIIRS_SNPP_NRT
8.60457,80.48453,331.25,0.47,0.64,2026-09-03,852,N,VIIRS,n,2.0NRT,291.37,5.78,D,VIIRS_SNPP_NRT
8.62868,80.4115,334.84,0.47,0.64,2026-09-03,852,N,VIIRS,n,2.0NRT,293.13,4.52,D,VIIRS_SNPP_NRT
8.62922,80.41586,339.61,0.47,0.64,2026-09-03,852,N,VIIRS,n,2.0NRT,293.02,4.52,D,VIIRS_SNPP_NRT
8.63185,80.41512,342.85,0.47,0.64,2026-09-03,852,N,VIIRS,n,2.0NRT,291.81,7.79,D,VIIRS_SNPP_NRT
8.6559,80.50523,349.78,0.47,0.64,2026-09-03,852,N,VIIRS,n,2.0NRT,293.52,8.48,D,VIIRS_SNPP_NRT
8.65861,80.50542,356.68,0.47,0.64,2026-09-03,852,N,VIIRS,n,2.0NRT,293.32,11.33,D,VIIRS_SNPP_NRT
8.66189,80.50454,333.14,0.47,0.64,2026-09-03,852,N,VIIRS,n,2.0NRT,291.88,5.56,D,VIIRS_SNPP_NRT
8.81097,78.0528,333.07,0.32,0.55,2026-09-03,852,N,VIIRS,n,2.0NRT,298.05,0.97,D,VIIRS_SNPP_NRT
8.82872,80.53358,335.37,0.48,0.65,2026-09-03,852,N,VIIRS,n,2.0NRT,291.51,7.51,D,VIIRS_SNPP_NRT
8.86421,78.08301,337.52,0.33,0.55,2026-09-03,852,N,VIIRS,n,2.0NRT,296.67,2.55,D,VIIRS_SNPP_NRT
8.86688,78.08226,334.12,0.33,0.55,2026-09-03,852,N,VIIRS,n,2.0NRT,296.85,1.34,D,VIIRS_SNPP_NRT
8.8697,80.70795,331.08,0.49,0.65,2026-09-03,852,N,VIIRS,n,2.0NRT,289.83,2.61,D,VIIRS_SNPP_NRT
8.99572,78.11298,337.77,0.33,0.55,2026-09-03,852,N,VIIRS,n,2.0NRT,296.58,1.58,D,VIIRS_SNPP_NRT
8.99612,78.11604,340.09,0.33,0.55,2026-09-03,852,N,VIIRS,n,2.0NRT,296.73,1.58,D,VIIRS_SNPP_NRT
9.09281,79.79891,331.83,0.43,0.62,2026-09-03,852,N,VIIRS,n,2.0NRT,291.7,4.75,D,VIIRS_SNPP_NRT
9.2081,80.67667,332.64,0.49,0.65,2026-09-03,852,N,VIIRS,n,2.0NRT,292.05,4.85,D,VIIRS_SNPP_NRT
9.20827,80.67661,333.84,0.5,0.65,2026-09-03,852,N,VIIRS,n,2.0NRT,292.0,6.18,D,VIIRS_SNPP_NRT
9.3942,80.43369,335.74,0.48,0.65,2026-09-03,852,N,VIIRS,n,2.0NRT,292.71,7.95,D,VIIRS_SNPP_NRT
9.39609,80.43563,331.09,0.48,0.65,2026-09-03,852,N,VIIRS,n,2.0NRT,292.43,6.93,D,VIIRS_SNPP_NRT
9.40996,78.80921,341.22,0.37,0.58,2026-09-03,852,N,VIIRS,n,2.0NRT,292.88,0.73,D,VIIRS_SNPP_NRT
