latitude,longitude,frp,bright_ti4,bright_ti5,daynight,satellite,confidence,acq_date,acq_time,dist_refinery,dist_oil_gas,dist_mining,dist_industry,dist_power_plant,dist_forest,dist_agriculture,dist_refinery_m,dist_factory,dist_industrial_zone,dist_oil_gas_m,dist_mining_m,dist_forest_m,dist_agriculture_m,dist_powerplant,has_refinery_5km,has_powerplant_5km,has_factory_5km,has_forest_5km,has_agriculture_5km,has_industrial_2km,count_ind_5km,count_ref_5km,count_forest_5km,count_agriculture_5km
27.98973,94.2222,18.02,336.75,297.24,D,N,n,2026-08-30,652,152.868,103.912,138.896,61.752,49.288,114.974,608.541,152.868,61.752,61.752,103.912,138.896,114.974,608.541,49.288,0,0,0,0,0,0,0,0,0,0
29.55473,90.99751,4.5,325.18,296.37,D,N,l,2026-08-30,652,340.59,384.804,432.188,236.247,212.004,290.367,419.191,340.59,236.247,236.247,384.804,432.188,290.367,419.191,212.004,0,0,0,0,0,0,0,0,0,0
29.55749,90.99095,5.61,328.38,290.57,D,N,n,2026-08-30,652,340.809,385.231,432.852,236.411,212.573,290.756,419.009,340.809,236.411,236.411,385.231,432.852,290.756,419.009,212.573,0,0,0,0,0,0,0,0,0,0
29.65337,90.98225,3.42,327.32,292.56,D,N,n,2026-08-30,652,351.268,395.848,441.089,246.67,222.419,301.434,426.611,351.268,246.67,246.67,395.848,441.089,301.434,426.611,222.419,0,0,0,0,0,0,0,0,0,0
6.24721,80.86079,2.37,335.72,299.28,D,N,n,2026-08-30,826,772.413,999.0,999.0,716.194,740.42,480.272,746.992,772.413,716.194,716.194,999.0,999.0,480.272,746.992,740.42,0,0,0,0,0,0,0,0,0,0
6.26749,81.05721,13.47,334.91,295.72,D,N,n,2026-08-30,826,772.259,999.0,999.0,716.649,741.386,497.804,747.045,772.259,716.649,716.649,999.0,999.0,497.804,747.045,741.386,0,0,0,0,0,0,0,0,0,0
6.45618,81.09254,7.3,345.43,300.75,D,N,n,2026-08-30,826,751.86,999.0,999.0,696.445,721.346,491.146,726.712,751.86,696.445,696.445,999.0,999.0,491.146,726.712,721.346,0,0,0,0,0,0,0,0,0,0
6.45692,81.09754,19.19,349.51,301.59,D,N,n,2026-08-30,826,751.844,999.0,999.0,696.446,721.36,491.598,726.701,751.844,696.446,696.446,999.0,999.0,491.598,726.701,721.36,0,0,0,0,0,0,0,0,0,0
6.45926,81.09015,8.32,346.16,299.67,D,N,n,2026-08-30,826,751.489,999.0,999.0,696.067,720.963,490.753,726.338,751.489,696.067,696.067,999.0,999.0,490.753,726.338,720.963,0,0,0,0,0,0,0,0,0,0
6.45996,81.09512,8.32,348.18,299.92,D,N,n,2026-08-30,826,751.476,999.0,999.0,696.072,720.981,491.205,726.331,751.476,696.072,696.072,999.0,999.0,491.205,726.331,720.981,0,0,0,0,0,0,0,0,0,0
6.46012,81.09199,7.3,341.66,299.41,D,N,n,2026-08-30,826,751.418,999.0,999.0,696.003,720.904,490.89,726.269,751.418,696.003,696.003,999.0,999.0,490.89,726.269,720.904,0,0,0,0,0,0,0,0,0,0
6.55183,80.87236,11.61,346.14,291.28,D,N,n,2026-08-30,826,738.773,999.0,999.0,682.682,707.042,464.663,713.392,738.773,682.682,682.682,999.0,999.0,464.663,713.392,707.042,0,0,0,0,0,0,0,0,0,0
6.55189,80.87561,8.33,334.36,292.72,D,N,n,2026-08-30,826,738.798,999.0,999.0,682.717,707.086,464.977,713.42,738.798,682.717,682.717,999.0,999.0,464.977,713.42,707.086,0,0,0,0,0,0,0,0,0,0
6.56987,81.05585,39.3,349.19,292.28,D,N,n,2026-08-30,826,738.832,999.0,999.0,683.345,708.199,481.796,713.657,738.832,683.345,683.345,999.0,999.0,481.796,713.657,708.199,0,0,0,0,0,0,0,0,0,0
6.57044,81.05381,18.25,336.92,290.95,D,N,n,2026-08-30,826,738.743,999.0,999.0,683.25,708.099,481.566,713.566,738.743,683.25,683.25,999.0,999.0,481.566,713.566,708.099,0,0,0,0,0,0,0,0,0,0
6.57118,81.0588,18.25,337.67,289.64,D,N,n,2026-08-30,826,738.725,999.0,999.0,683.249,708.111,482.023,713.554,738.725,683.249,683.249,999.0,999.0,482.023,713.554,708.111,0,0,0,0,0,0,0,0,0,0
6.71188,81.53472,3.03,341.78,300.87,D,N,n,2026-08-30,826,731.207,999.0,999.0,677.581,703.665,523.467,706.688,731.207,677.581,677.581,999.0,999.0,523.467,706.688,703.665,0,0,0,0,0,0,0,0,0,0
6.72053,81.5371,5.65,342.87,299.79,D,N,n,2026-08-30,826,730.311,999.0,999.0,676.703,702.796,523.345,705.798,730.311,676.703,676.703,999.0,999.0,523.345,705.798,702.796,0,0,0,0,0,0,0,0,0,0
6.72105,81.5407,5.65,343.31,300.12,D,N,n,2026-08-30,826,730.329,999.0,999.0,676.736,702.837,523.691,705.822,730.329,676.736,676.736,999.0,999.0,523.691,705.822,702.837,0,0,0,0,0,0,0,0,0,0
6.72933,81.16361,4.87,339.18,291.13,D,N,n,2026-08-30,826,722.716,999.0,999.0,667.685,692.886,485.02,697.697,722.716,667.685,667.685,999.0,999.0,485.02,697.697,692.886,0,0,0,0,0,0,0,0,0,0
6.7333,81.16302,19.5,349.54,291.31,D,N,n,2026-08-30,826,722.27,999.0,999.0,667.239,692.44,484.781,697.251,722.27,667.239,667.239,999.0,999.0,484.781,697.251,692.44,0,0,0,0,0,0,0,0,0,0
6.7412,81.50845,4.05,342.02,306.51,D,N,n,2026-08-30,826,727.465,999.0,999.0,673.759,699.798,519.547,702.916,727.465,673.759,673.759,999.0,999.0,519.547,702.916,699.798,0,0,0,0,0,0,0,0,0,0
6.74123,81.50769,3.86,340.69,306.26,D,N,n,2026-08-30,826,727.446,999.0,999.0,673.737,699.775,519.468,702.897,727.446,673.737,673.737,999.0,999.0,519.468,702.897,699.775,0,0,0,0,0,0,0,0,0,0
6.74882,81.53226,3.11,335.77,306.41,D,N,l,2026-08-30,826,727.121,999.0,999.0,673.517,699.615,521.665,702.61,727.121,673.517,673.517,999.0,999.0,521.665,702.61,699.615,0,0,0,0,0,0,0,0,0,0
6.74896,81.53299,3.24,336.66,306.47,D,N,n,2026-08-30,826,727.121,999.0,999.0,673.52,699.62,521.734,702.61,727.121,673.52,673.52,999.0,999.0,521.734,702.61,699.62,0,0,0,0,0,0,0,0,0,0
6.77788,81.78619,4.91,338.04,302.1,D,N,n,2026-08-30,826,729.745,999.0,999.0,677.231,703.893,546.624,705.63,729.745,677.231,677.231,999.0,999.0,546.624,705.63,703.893,0,0,0,0,0,0,0,0,0,0
6.7977,81.55489,6.68,349.29,305.52,D,N,n,2026-08-30,826,722.26,999.0,999.0,668.791,694.967,521.984,697.796,722.26,668.791,668.791,999.0,999.0,521.984,697.796,694.967,0,0,0,0,0,0,0,0,0,0
6.81451,81.55614,3.16,340.43,305.15,D,N,n,2026-08-30,826,720.452,999.0,999.0,667.004,693.192,521.436,695.996,720.452,667.004,667.004,999.0,999.0,521.436,695.996,693.192,0,0,0,0,0,0,0,0,0,0
6.81849,81.5262,2.63,339.07,303.18,D,N,n,2026-08-30,826,719.387,999.0,999.0,665.819,691.941,518.194,694.887,719.387,665.819,665.819,999.0,999.0,518.194,694.887,691.941,0,0,0,0,0,0,0,0,0,0
6.863,81.43449,3.02,332.96,297.4,D,N,n,2026-08-30,826,712.67,999.0,999.0,658.766,684.701,506.965,688.049,712.67,658.766,658.766,999.0,999.0,506.965,688.049,684.701,0,0,0,0,0,0,0,0,0,0
6.89576,81.66621,3.31,331.54,301.71,D,N,l,2026-08-30,826,714.063,999.0,999.0,661.157,687.635,529.671,689.801,714.063,661.157,661.157,999.0,999.0,529.671,689.801,687.635,0,0,0,0,0,0,0,0,0,0
6.96385,81.61536,6.91,336.56,304.75,D,N,n,2026-08-30,826,705.486,999.0,999.0,652.43,678.837,521.825,681.169,705.486,652.43,652.43,999.0,999.0,521.825,681.169,678.837,0,0,0,0,0,0,0,0,0,0
7.01565,81.40194,3.69,344.36,303.03,D,N,n,2026-08-30,826,695.329,999.0,999.0,641.417,667.358,497.721,670.701,695.329,641.417,641.417,999.0,999.0,497.721,670.701,667.358,0,0,0,0,0,0,0,0,0,0
7.01929,81.60059,2.25,332.84,302.79,D,N,n,2026-08-30,826,699.118,999.0,999.0,646.054,672.461,518.195,674.796,699.118,646.054,646.054,999.0,999.0,518.195,674.796,672.461,0,0,0,0,0,0,0,0,0,0
7.10918,81.68468,4.05,335.1,305.92,D,N,l,2026-08-30,826,691.335,999.0,999.0,638.742,665.39,523.735,667.183,691.335,638.742,638.742,999.0,999.0,523.735,667.183,665.39,0,0,0,0,0,0,0,0,0,0
7.13256,81.41004,2.12,330.14,297.2,D,N,n,2026-08-30,826,682.696,999.0,999.0,628.918,654.946,494.187,658.115,682.696,628.918,628.918,999.0,999.0,494.187,658.115,654.946,0,0,0,0,0,0,0,0,0,0
7.21619,81.59032,5.44,337.99,306.07,D,N,n,2026-08-30,826,677.468,999.0,999.0,624.565,651.069,510.188,653.2,677.468,624.565,624.565,999.0,999.0,510.188,653.2,651.069,0,0,0,0,0,0,0,0,0,0
7.27317,81.1773,2.91,330.44,303.55,D,N,l,2026-08-30,826,663.056,999.0,999.0,608.415,633.926,464.865,638.165,663.056,608.415,608.415,999.0,999.0,464.865,638.165,633.926,0,0,0,0,0,0,0,0,0,0
7.27678,81.14547,4.38,337.26,305.53,D,N,n,2026-08-30,826,662.149,999.0,999.0,607.38,632.807,461.405,637.213,662.149,607.38,607.38,999.0,999.0,461.405,637.213,632.807,0,0,0,0,0,0,0,0,0,0
7.27753,81.15067,4.38,337.79,306.06,D,N,n,2026-08-30,826,662.148,999.0,999.0,607.402,632.843,461.924,637.221,662.148,607.402,607.402,999.0,999.0,461.924,637.221,632.843,0,0,0,0,0,0,0,0,0,0
7.27994,81.59621,5.24,340.82,306.6,D,N,n,2026-08-30,826,670.678,999.0,999.0,617.874,644.431,508.745,646.445,670.678,617.874,617.874,999.0,999.0,508.745,646.445,644.431,0,0,0,0,0,0,0,0,0,0
7.29368,81.80795,2.34,332.54,303.12,D,N,l,2026-08-30,826,674.57,999.0,999.0,622.786,649.816,530.759,650.711,674.57,622.786,622.786,999.0,999.0,530.759,650.711,649.816,0,0,0,0,0,0,0,0,0,0
7.31546,81.10326,6.49,334.42,304.81,D,N,l,2026-08-30,826,657.239,999.0,999.0,602.325,627.656,455.643,632.252,657.239,602.325,602.325,999.0,999.0,455.643,632.252,627.656,0,0,0,0,0,0,0,0,0,0
7.31621,81.10839,9.05,336.91,305.81,D,N,n,2026-08-30,826,657.234,999.0,999.0,602.342,627.687,456.156,632.255,657.234,602.342,602.342,999.0,999.0,456.156,632.255,627.687,0,0,0,0,0,0,0,0,0,0
7.31681,81.76224,5.41,344.78,299.4,D,N,n,2026-08-30,826,670.847,999.0,999.0,618.873,645.822,525.211,646.917,670.847,618.873,618.873,999.0,999.0,525.211,646.917,645.822,0,0,0,0,0,0,0,0,0,0
7.32021,81.10786,2.2,336.09,306.09,D,N,n,2026-08-30,826,656.785,999.0,999.0,601.893,627.24,455.964,631.806,656.785,601.893,601.893,999.0,999.0,455.964,631.806,627.24,0,0,0,0,0,0,0,0,0,0
