latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,source_dataset
27.98973,94.2222,336.75,0.42,0.38,2026-08-30,652,N,VIIRS,n,2.0NRT,297.24,18.02,D,VIIRS_SNPP_NRT
29.55473,90.99751,325.18,0.55,0.43,2026-08-30,652,N,VIIRS,l,2.0NRT,296.37,4.5,D,VIIRS_SNPP_NRT
29.55749,90.99095,328.38,0.55,0.43,2026-08-30,652,N,VIIRS,n,2.0NRT,290.57,5.61,D,VIIRS_SNPP_NRT
29.65337,90.98225,327.32,0.55,0.43,2026-08-30,652,N,VIIRS,n,2.0NRT,292.56,3.42,D,VIIRS_SNPP_NRT
6.24721,80.86079,335.72,0.53,0.42,2026-08-30,826,N,VIIRS,n,2.0NRT,299.28,2.37,D,VIIRS_SNPP_NRT
6.26749,81.05721,334.91,0.55,0.42,2026-08-30,826,N,VIIRS,n,2.0NRT,295.72,13.47,D,VIIRS_SNPP_NRT
6.45618,81.09254,345.43,0.55,0.43,2026-08-30,826,N,VIIRS,n,2.0NRT,300.75,7.3,D,VIIRS_SNPP_NRT
6.45692,81.09754,349.51,0.55,0.43,2026-08-30,826,N,VIIRS,n,2.0NRT,301.59,19.19,D,VIIRS_SNPP_NRT
6.45926,81.09015,346.16,0.55,0.43,2026-08-30,826,N,VIIRS,n,2.0NRT,299.67,8.32,D,VIIRS_SNPP_NRT
6.45996,81.09512,348.18,0.55,0.43,2026-08-30,826,N,VIIRS,n,2.0NRT,299.92,8.32,D,VIIRS_SNPP_NRT
6.46012,81.09199,341.66,0.55,0.43,2026-08-30,826,N,VIIRS,n,2.0NRT,299.41,7.3,D,VIIRS_SNPP_NRT
6.55183,80.87236,346.14,0.54,0.42,2026-08-30,826,N,VIIRS,n,2.0NRT,291.28,11.61,D,VIIRS_SNPP_NRT
6.55189,80.87561,334.36,0.54,0.42,2026-08-30,826,N,VIIRS,n,2.0NRT,292.72,8.33,D,VIIRS_SNPP_NRT
6.56987,81.05585,349.19,0.55,0.43,2026-08-30,826,N,VIIRS,n,2.0NRT,292.28,39.3,D,VIIRS_SNPP_NRT
6.57044,81.05381,336.92,0.55,0.43,2026-08-30,826,N,VIIRS,n,2.0NRT,290.95,18.25,D,VIIRS_SNPP_NRT
6.57118,81.0588,337.67,0.55,0.43,2026-08-30,826,N,VIIRS,n,2.0NRT,289.64,18.25,D,VIIRS_SNPP_NRT
6.71188,81.53472,341.78,0.39,0.44,2026-08-30,826,N,VIIRS,n,2.0NRT,300.87,3.03,D,VIIRS_SNPP_NRT
6.72053,81.5371,342.87,0.39,0.44,2026-08-30,826,N,VIIRS,n,2.0NRT,299.79,5.65,D,VIIRS_SNPP_NRT
6.72105,81.5407,343.31,0.39,0.44,2026-08-30,826,N,VIIRS,n,2.0NRT,300.12,5.65,D,VIIRS_SNPP_NRT
6.72933,81.16361,339.18,0.56,0.43,2026-08-30,826,N,VIIRS,n,2.0NRT,291.13,4.87,D,VIIRS_SNPP_NRT
6.7333,81.16302,349.54,0.56,0.43,2026-08-30,826,N,VIIRS,n,2.0NRT,291.31,19.5,D,VIIRS_SNPP_NRT
6.7412,81.50845,342.02,0.39,0.44,2026-08-30,826,N,VIIRS,n,2.0NRT,306.51,4.05,D,VIIRS_SNPP_NRT
6.74123,81.50769,340.69,0.39,0.44,2026-08-30,826,N,VIIRS,n,2.0NRT,306.26,3.86,D,VIIRS_SNPP_NRT
