category,radius_m,radius_km,n_within,pct_within
industry,100,0.1,5,0.394
industry,250,0.25,12,0.946
industry,500,0.5,37,2.918
industry,1000,1.0,72,5.678
industry,2000,2.0,97,7.65
industry,3000,3.0,100,7.886
industry,5000,5.0,113,8.912
industry,10000,10.0,121,9.543
industry,20000,20.0,169,13.328
industry,30000,30.0,182,14.353
industry,50000,50.0,191,15.063
refinery,100,0.1,0,0.0
refinery,250,0.25,0,0.0
refinery,500,0.5,3,0.237
refinery,1000,1.0,4,0.315
refinery,2000,2.0,15,1.183
refinery,3000,3.0,23,1.814
refinery,5000,5.0,23,1.814
refinery,10000,10.0,23,1.814
refinery,20000,20.0,30,2.366
refinery,30000,30.0,33,2.603
refinery,50000,50.0,36,2.839
oil_gas,100,0.1,0,0.0
oil_gas,250,0.25,0,0.0
oil_gas,500,0.5,0,0.0
oil_gas,1000,1.0,0,0.0
oil_gas,2000,2.0,5,0.394
oil_gas,3000,3.0,17,1.341
oil_gas,5000,5.0,20,1.577
oil_gas,10000,10.0,32,2.524
oil_gas,20000,20.0,32,2.524
oil_gas,30000,30.0,33,2.603
oil_gas,50000,50.0,33,2.603
mining,100,0.1,0,0.0
mining,250,0.25,0,0.0
mining,500,0.5,0,0.0
mining,1000,1.0,1,0.079
mining,2000,2.0,7,0.552
mining,3000,3.0,12,0.946
mining,5000,5.0,24,1.893
mining,10000,10.0,74,5.836
mining,20000,20.0,153,12.066
mining,30000,30.0,168,13.249
mining,50000,50.0,188,14.826
forest,100,0.1,0,0.0
forest,250,0.25,0,0.0
forest,500,0.5,0,0.0
forest,1000,1.0,0,0.0
forest,2000,2.0,6,0.473
forest,3000,3.0,13,1.025
forest,5000,5.0,64,5.047
forest,10000,10.0,147,11.593
forest,20000,20.0,217,17.114
forest,30000,30.0,311,24.527
forest,50000,50.0,403,31.782
agriculture,100,0.1,0,0.0
agriculture,250,0.25,0,0.0
agriculture,500,0.5,0,0.0
agriculture,1000,1.0,0,0.0
agriculture,2000,2.0,0,0.0
agriculture,3000,3.0,0,0.0
agriculture,5000,5.0,27,2.129
agriculture,10000,10.0,34,2.681
agriculture,20000,20.0,54,4.259
agriculture,30000,30.0,104,8.202
agriculture,50000,50.0,131,10.331
power_plant,100,0.1,1,0.079
power_plant,250,0.25,5,0.394
power_plant,500,0.5,10,0.789
power_plant,1000,1.0,32,2.524
power_plant,2000,2.0,59,4.653
power_plant,3000,3.0,77,6.073
power_plant,5000,5.0,83,6.546
power_plant,10000,10.0,101,7.965
power_plant,20000,20.0,141,11.12
power_plant,30000,30.0,175,13.801
power_plant,50000,50.0,182,14.353
industry,prod_bbox,prod_bbox,175,13.801
refinery,prod_bbox,prod_bbox,30,2.366
oil_gas,prod_bbox,prod_bbox,33,2.603
mining,prod_bbox,prod_bbox,165,13.013
forest,prod_bbox,prod_bbox,282,22.24
agriculture,prod_bbox,prod_bbox,84,6.625
power_plant,prod_bbox,prod_bbox,169,13.328
