feature,entity,source,spatial_logic,radius_m,unit,defined_in,hardcoded_or_configurable,used_by,activation_pct,hotspots_found
has_refinery_5km,refinery,osm_industrial_sites.json,nearest distance to OSM entity,5000.0,m,scripts/build_real_dataset.py,hardcoded inline,dataset_builder FEATURE_COLUMNS / ML,1.814,30
has_powerplant_5km,power_plant,osm_industrial_sites.json,nearest distance to OSM entity,5000.0,m,scripts/build_real_dataset.py,hardcoded inline,dataset_builder FEATURE_COLUMNS / ML,6.546,169
has_factory_5km,industry,osm_industrial_sites.json,nearest distance to OSM entity,5000.0,m,scripts/build_real_dataset.py,hardcoded inline,dataset_builder FEATURE_COLUMNS / ML,8.912,175
has_industrial_2km,industry,osm_industrial_sites.json,nearest distance to OSM entity,2000.0,m,scripts/build_real_dataset.py,hardcoded inline,dataset_builder FEATURE_COLUMNS / ML,7.65,175
has_forest_5km,forest,osm_forest_agriculture.json,nearest distance to OSM entity,5000.0,m,scripts/build_real_dataset.py,hardcoded inline,dataset_builder FEATURE_COLUMNS / ML,0.0,0
has_agriculture_5km,agriculture,osm_forest_agriculture.json,nearest distance to OSM entity,5000.0,m,scripts/build_real_dataset.py,hardcoded inline,dataset_builder FEATURE_COLUMNS / ML,0.0,0
distance_to_industry_m,industry,osm_industrial_sites.json,haversine nearest-site distance (m),,m,app/geo/distance.py,N/A (continuous),"labeling_functions.get_distance_meters, spatial_context",13.801,175
distance_to_refinery_m,refinery,osm_industrial_sites.json,haversine nearest-site distance (m),,m,app/geo/distance.py,N/A (continuous),"labeling_functions.get_distance_meters, spatial_context",2.366,30
distance_to_oil_gas_m,oil_gas,osm_industrial_sites.json,haversine nearest-site distance (m),,m,app/geo/distance.py,N/A (continuous),"labeling_functions.get_distance_meters, spatial_context",2.603,33
distance_to_mining_m,mining,osm_industrial_sites.json,haversine nearest-site distance (m),,m,app/geo/distance.py,N/A (continuous),"labeling_functions.get_distance_meters, spatial_context",13.013,165
distance_to_forest_m,forest,osm_forest_agriculture.json,haversine nearest-site distance (m),,m,app/geo/distance.py,N/A (continuous),"labeling_functions.get_distance_meters, spatial_context",0.0,0
distance_to_agriculture_m,agriculture,osm_forest_agriculture.json,haversine nearest-site distance (m),,m,app/geo/distance.py,N/A (continuous),"labeling_functions.get_distance_meters, spatial_context",0.0,0
distance_to_power_plant_m,power_plant,osm_industrial_sites.json,haversine nearest-site distance (m),,m,app/geo/distance.py,N/A (continuous),"labeling_functions.get_distance_meters, spatial_context",13.328,169
dist_refinery,refinery,osm_industrial_sites.json,km alias (m/1000),,km,scripts/build_real_dataset.py,N/A (continuous),dataset_builder DISTANCE_COLUMNS / ML,2.366,30
dist_oil_gas,oil_gas,osm_industrial_sites.json,km alias (m/1000),,km,scripts/build_real_dataset.py,N/A (continuous),dataset_builder DISTANCE_COLUMNS / ML,2.603,33
dist_mining,mining,osm_industrial_sites.json,km alias (m/1000),,km,scripts/build_real_dataset.py,N/A (continuous),dataset_builder DISTANCE_COLUMNS / ML,13.013,165
dist_forest,forest,osm_forest_agriculture.json,km alias (m/1000),,km,scripts/build_real_dataset.py,N/A (continuous),dataset_builder DISTANCE_COLUMNS / ML,0.0,0
dist_agriculture,agriculture,osm_forest_agriculture.json,km alias (m/1000),,km,scripts/build_real_dataset.py,N/A (continuous),dataset_builder DISTANCE_COLUMNS / ML,0.0,0
