column,dtype,n,missing,zeros,nunique,min,max,mean,median,std,p25,p50,p75,p90,p95,p99,constant_value
latitude,float64,1268,0,0,1265,6.1585,35.9918,14.4468,9.4066,8.0506,8.0841,9.4066,23.6664,25.3876,29.4736,33.2951,
longitude,float64,1268,0,0,1260,68.1468,95.9406,80.1851,80.6945,4.5228,77.955,80.6945,81.5561,86.3898,86.4419,90.5318,
acq_time,int64,1268,0,0,47,654.0,2201.0,1254.1901,837.0,606.2539,750.0,837.0,2002.0,2023.0,2125.0,2144.0,
frp,float64,1268,0,0,692,0.12,235.55,4.8831,3.55,8.0913,1.7175,3.55,6.1525,9.279,11.1125,24.3558,
bright_ti4,float64,1268,0,0,1052,295.01,367.0,327.4426,332.145,16.4209,309.8325,332.145,338.375,344.822,349.511,367.0,
bright_ti5,float64,1268,0,0,1000,268.04,335.64,293.476,294.09,7.268,288.87,294.09,298.0425,302.03,304.6195,310.0093,
distance_to_industry_m,float64,1268,0,0,175,60.4,999000.0,861894.0424,999000.0,342791.5913,999000.0,999000.0,999000.0,999000.0,999000.0,999000.0,
distance_to_refinery_m,float64,1268,0,0,31,265.8,999000.0,975452.6174,999000.0,151327.2743,999000.0,999000.0,999000.0,999000.0,999000.0,999000.0,
distance_to_oil_gas_m,float64,1268,0,0,33,1441.0,999000.0,973147.6511,999000.0,158216.986,999000.0,999000.0,999000.0,999000.0,999000.0,999000.0,
distance_to_mining_m,float64,1268,0,0,166,832.9,999000.0,870483.8811,999000.0,332417.3732,999000.0,999000.0,999000.0,999000.0,999000.0,999000.0,
distance_to_agriculture_m,float64,1268,0,0,1,999000.0,999000.0,999000.0,999000.0,0.0,999000.0,999000.0,999000.0,999000.0,999000.0,999000.0,999000.0
distance_to_forest_m,float64,1268,0,0,1,999000.0,999000.0,999000.0,999000.0,0.0,999000.0,999000.0,999000.0,999000.0,999000.0,999000.0,999000.0
distance_to_power_plant_m,float64,1268,0,0,170,31.9,999000.0,866998.1469,999000.0,336762.4033,999000.0,999000.0,999000.0,999000.0,999000.0,999000.0,
dist_factory,float64,1268,0,0,173,0.06,999.0,861.894,999.0,342.7916,999.0,999.0,999.0,999.0,999.0,999.0,
dist_industrial_zone,float64,1268,0,0,173,0.06,999.0,861.894,999.0,342.7916,999.0,999.0,999.0,999.0,999.0,999.0,
dist_refinery,float64,1268,0,0,31,0.266,999.0,975.4526,999.0,151.3273,999.0,999.0,999.0,999.0,999.0,999.0,
dist_oil_gas,float64,1268,0,0,33,1.441,999.0,973.1476,999.0,158.217,999.0,999.0,999.0,999.0,999.0,999.0,
dist_mining,float64,1268,0,0,166,0.833,999.0,870.4839,999.0,332.4174,999.0,999.0,999.0,999.0,999.0,999.0,
dist_agriculture,float64,1268,0,0,1,999.0,999.0,999.0,999.0,0.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
dist_forest,float64,1268,0,0,1,999.0,999.0,999.0,999.0,0.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
dist_powerplant,float64,1268,0,0,170,0.032,999.0,866.9982,999.0,336.7624,999.0,999.0,999.0,999.0,999.0,999.0,
has_refinery_5km,int64,1268,0,1245,2,0.0,1.0,0.0181,0.0,0.1335,0.0,0.0,0.0,0.0,0.0,1.0,
has_powerplant_5km,int64,1268,0,1185,2,0.0,1.0,0.0655,0.0,0.2474,0.0,0.0,0.0,0.0,1.0,1.0,
has_factory_5km,int64,1268,0,1155,2,0.0,1.0,0.0891,0.0,0.285,0.0,0.0,0.0,0.0,1.0,1.0,
has_industrial_2km,int64,1268,0,1171,2,0.0,1.0,0.0765,0.0,0.2659,0.0,0.0,0.0,0.0,1.0,1.0,
has_forest_5km,int64,1268,0,1268,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_agriculture_5km,int64,1268,0,1268,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
count_ind_5km,int64,1268,0,1155,3,0.0,3.0,0.2421,0.0,0.8019,0.0,0.0,0.0,0.0,3.0,3.0,
count_ref_5km,int64,1268,0,1245,2,0.0,2.0,0.0363,0.0,0.267,0.0,0.0,0.0,0.0,0.0,2.0,
